DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2020-11-19,21.9000,22.2000,18.0800,20.2900,9.854,
2020-11-20,20.7000,21.0700,19.0600,19.0600,1.711,
2020-11-23,19.7400,20.7000,19.5000,20.3900,1.039,
2020-11-24,20.7300,20.8900,20.0000,20.1000,0.649,
2020-11-25,20.1500,20.3499,19.8000,20.0600,0.588,
2020-11-27,20.5800,20.9500,19.9100,20.0000,0.612,
2020-11-30,20.5900,20.6595,19.9500,20.0700,1.038,
2020-12-01,20.0700,24.8300,20.0200,23.3500,3.177,
2020-12-02,22.8000,23.7499,21.3000,22.1300,1.040,
2020-12-03,22.3900,23.0899,22.0250,22.5100,0.542,
2020-12-04,22.8208,24.0000,22.2200,22.4300,0.991,
2020-12-07,21.6900,21.9494,19.9000,20.3500,1.990,
2020-12-08,20.4000,20.8100,20.2100,20.3400,0.708,
2020-12-09,20.3100,20.4999,19.5000,19.8000,0.983,
2020-12-10,19.8500,20.2000,19.2600,19.5500,0.742,
2020-12-11,19.3000,20.4000,19.0600,20.1900,0.691,
2020-12-14,21.0000,21.7300,20.2900,21.0200,1.103,
2020-12-15,21.0900,22.8400,20.8500,22.1100,0.863,
2020-12-16,22.4600,23.6300,22.4500,23.5000,1.771,
2020-12-17,23.5900,24.8300,23.5673,24.4100,1.245,
2020-12-18,24.3300,27.0000,24.3300,26.9700,1.745,
2020-12-21,27.0000,28.0000,25.7200,27.9200,1.165,
2020-12-22,28.3000,30.0000,27.9700,28.9000,1.581,
2020-12-23,28.9000,30.8400,27.6000,30.3700,1.796,
2020-12-24,30.3500,31.2950,28.9100,30.1700,0.767,
2020-12-28,30.5300,31.0800,29.1000,29.5300,0.502,
2020-12-29,29.5400,31.2000,27.5000,31.0300,0.942,
2020-12-30,30.9500,32.4000,30.5800,32.0700,1.231,
2020-12-31,31.9200,33.0300,31.3800,32.9800,0.717,
2021-01-04,32.9300,33.3500,29.2900,33.2700,1.091,
2021-01-05,33.1700,33.7500,30.8500,32.0700,0.477,
2021-01-06,31.4300,31.8600,29.1100,31.0600,1.280,
2021-01-07,30.6400,32.4500,30.1800,31.8100,0.585,
2021-01-08,31.7700,32.2900,30.1400,30.4700,0.350,
2021-01-11,30.0700,32.1300,29.5000,31.5200,0.342,
2021-01-12,31.8600,32.3900,31.0300,32.3400,0.289,
2021-01-13,32.3500,34.2075,32.3500,33.1100,0.776,
2021-01-14,33.4400,35.1800,33.2000,34.4900,1.091,
2021-01-15,34.6100,40.3100,34.6100,37.7600,3.612,
2021-01-19,39.0000,40.4000,39.0000,39.7000,1.421,
2021-01-20,40.2500,41.8400,39.8200,40.2100,1.234,
2021-01-21,40.9800,41.1300,37.5600,39.3800,1.054,
2021-01-22,38.9800,40.0600,38.5150,39.8300,0.597,
2021-01-25,40.1800,40.6600,37.2600,38.2500,0.752,
2021-01-26,38.0890,39.6500,37.3100,38.5100,0.504,
2021-01-27,37.5400,38.3500,35.2000,35.8100,0.644,
2021-01-28,35.9100,37.1000,34.7500,36.6300,0.523,
2021-01-29,36.2300,38.1475,34.8000,35.3000,0.776,
2021-02-01,36.0000,38.4900,35.4100,37.5000,0.712,
2021-02-02,38.3400,39.3600,37.0500,38.8200,0.819,28.789
2021-02-03,40.0000,40.2900,38.0000,38.8700,0.493,29.160
2021-02-04,39.3600,40.0000,38.3400,39.2000,0.442,29.563
2021-02-05,39.7900,39.8800,38.5000,38.7000,0.497,29.929
2021-02-08,38.7300,39.1642,37.2800,38.1900,0.580,30.291
2021-02-09,38.1000,40.6200,37.8100,39.6300,1.356,30.683
2021-02-10,39.7500,40.2700,35.6000,38.8500,0.677,31.060
2021-02-11,37.4000,39.3700,37.4000,38.2500,0.349,31.423
2021-02-12,37.5700,38.5800,36.7200,37.0200,0.409,31.697
2021-02-16,37.9900,38.0469,35.9000,36.1100,0.303,31.976
2021-02-17,35.6300,35.8500,34.3000,35.4600,0.731,32.235
2021-02-18,34.8700,35.4500,33.7100,34.9400,0.682,32.485
2021-02-19,35.6000,36.3200,34.8500,35.5900,0.423,32.790
2021-02-22,35.2300,36.3360,34.1700,34.4000,0.264,33.071
2021-02-23,33.4000,34.7900,30.6400,34.5400,0.596,33.366
2021-02-24,35.0800,36.9899,34.2700,36.5900,0.305,33.707
2021-02-25,36.2000,36.7108,34.1400,34.6300,0.371,33.996
2021-02-26,34.2000,34.9000,32.1400,33.3200,0.703,34.242
2021-03-01,34.4100,35.9900,34.3800,35.0200,0.331,34.500
2021-03-02,34.8700,34.9200,33.1100,33.7500,0.503,34.705
2021-03-03,33.7200,34.5000,32.3450,32.8300,0.417,34.873
2021-03-04,32.6000,33.0300,30.0300,31.7100,0.815,34.968
2021-03-05,32.0000,32.0000,27.9000,30.4300,0.867,35.018
2021-03-08,30.8519,31.5079,29.0001,29.4200,0.482,35.029
2021-03-09,30.4000,31.9800,30.3401,31.4200,0.357,35.050
2021-03-10,32.0000,33.4900,31.9900,32.1500,0.509,35.089
2021-03-11,32.8200,34.3900,32.8200,33.4500,0.490,35.168
2021-03-12,32.0500,34.7500,31.9891,34.2300,0.335,35.232
2021-03-15,34.5000,36.3400,34.0200,35.1200,0.401,35.293
2021-03-16,35.4000,36.8500,34.9700,35.7400,0.443,35.348
2021-03-17,35.0100,36.7900,34.5427,35.8400,0.492,35.399
2021-03-18,35.6900,36.0700,34.1800,34.4800,0.452,35.448
2021-03-19,34.8700,35.6100,33.5500,33.8800,3.269,35.504
2021-03-22,34.0000,34.7200,32.9100,33.1200,0.511,35.530
2021-03-23,33.4400,34.3100,33.0600,34.0600,0.682,35.602
2021-03-24,34.4200,35.4200,32.9700,33.0900,0.797,35.633
2021-03-25,32.4700,32.8300,30.3963,30.7500,0.636,35.602
2021-03-26,35.9000,39.4500,34.6800,37.7100,2.985,35.694
2021-03-29,37.7000,37.7100,35.6300,36.1400,0.708,35.727
2021-03-30,35.7200,36.1800,34.7400,35.5000,0.683,35.681
2021-03-31,35.6400,38.1100,35.6400,37.9200,0.856,35.646
2021-04-01,34.4800,37.0000,34.0731,35.3200,4.816,35.548
2021-04-05,36.0200,37.4600,35.5500,37.2100,1.785,35.505
2021-04-06,36.5100,37.1100,34.7600,34.9400,1.108,35.407
2021-04-07,35.0400,35.5232,33.9900,34.4600,0.469,35.331
2021-04-08,34.0900,34.8600,33.7800,34.3200,0.438,35.247
2021-04-09,34.0100,35.1400,33.2201,34.4000,0.655,35.219
2021-04-12,34.7200,34.7900,33.0900,33.8800,0.466,35.164
2021-04-13,34.1100,35.7800,33.3400,35.3900,0.637,35.166
2021-04-14,35.2800,36.3900,34.2600,34.4500,0.854,35.105
2021-04-15,34.5900,35.5800,33.8417,35.2500,0.357,35.033
2021-04-16,35.4100,35.6250,34.6500,35.3000,0.324,34.962
2021-04-19,34.9600,35.2000,33.7100,34.1300,0.350,34.861
2021-04-20,34.0400,34.4600,33.1400,33.9600,0.388,34.766
2021-04-21,33.7400,34.0000,32.3800,33.3400,0.534,34.669
2021-04-22,33.2100,35.0000,32.9000,34.0900,0.459,34.558
2021-04-23,34.3000,34.7400,33.4000,33.9000,0.378,34.459
2021-04-26,34.1600,35.6000,33.8300,35.1100,0.330,34.396
2021-04-27,35.3500,35.4900,33.4200,33.8700,0.383,34.333
2021-04-28,33.6500,33.8300,33.0200,33.4000,0.346,34.279
2021-04-29,33.7700,34.3300,32.5200,33.5600,0.503,34.241
2021-04-30,33.0600,33.5400,32.5700,33.1800,0.259,34.206
2021-05-03,33.3200,33.4400,32.1100,32.7100,0.288,34.148
2021-05-04,32.1700,32.3400,30.8500,31.7800,0.354,34.096
2021-05-05,31.9500,31.9500,30.5500,31.7000,0.420,34.039
2021-05-06,31.5100,31.6200,30.3800,30.9500,0.379,33.926
2021-05-07,31.3900,31.7099,30.5500,31.0800,0.492,33.855
2021-05-10,31.2100,31.9600,30.4800,31.4100,0.375,33.817
2021-05-11,30.3400,31.6000,30.1300,31.2200,0.522,33.741
2021-05-12,30.7400,31.6400,30.3200,31.0200,0.321,33.686
2021-05-13,31.5300,33.8800,31.2300,33.4100,1.796,33.698
2021-05-14,34.5300,36.3825,33.4000,35.5200,1.479,33.774
2021-05-17,35.4000,35.9200,33.8700,34.6400,1.136,33.858
2021-05-18,32.7800,33.3300,29.6102,29.6600,2.941,33.863
2021-05-19,29.2000,29.7000,27.6100,27.8500,2.352,33.792
2021-05-20,28.1700,31.6800,28.1300,31.3900,1.423,33.777
2021-05-21,31.7100,31.7100,29.6800,30.4600,0.582,33.717
2021-05-24,30.6300,30.9400,29.9100,30.4400,0.546,33.641
2021-05-25,30.5700,31.5200,30.1500,31.2000,0.583,33.563
2021-05-26,31.2600,33.3800,31.2600,32.6800,0.620,33.501
2021-05-27,32.6000,33.4600,32.2190,33.0100,0.531,33.445
2021-05-28,33.1700,33.3800,32.5000,32.8800,0.452,33.413
2021-06-01,33.3600,34.0700,33.0600,33.1400,0.377,33.398
2021-06-02,33.1400,34.0500,32.8120,33.5000,0.516,33.406
2021-06-03,33.0400,33.8300,32.6250,33.4400,0.572,33.393
2021-06-04,33.5000,33.8900,32.9300,33.2600,0.583,33.397
2021-06-07,33.2500,34.0100,32.8200,33.9400,0.716,33.460
2021-06-08,34.0000,35.3100,33.6600,35.0000,0.719,33.406
2021-06-09,35.3500,35.7500,34.2900,34.3800,0.362,33.371
2021-06-10,34.5500,35.0500,34.0900,34.6400,0.322,33.354
2021-06-11,34.8000,35.8800,34.5000,35.6700,0.508,33.309
2021-06-14,35.9900,36.4900,35.6000,35.6800,0.695,33.316
2021-06-15,35.7700,36.2900,35.3000,36.1700,0.544,33.295
2021-06-16,36.0000,36.5600,35.4500,35.6100,0.981,33.309
2021-06-17,35.4800,36.9200,35.2500,36.5300,0.916,33.350
2021-06-18,35.9300,36.7100,35.3100,35.5200,1.852,33.374
2021-06-21,35.5000,36.2300,34.7400,35.5000,0.613,33.396
2021-06-22,35.0100,35.8500,34.4900,35.1500,0.696,33.421
2021-06-23,35.1600,35.6100,34.0100,34.6400,0.527,33.406
2021-06-24,34.9600,35.4600,34.1800,34.4600,0.321,33.407
2021-06-25,34.5200,35.4200,34.1100,34.2300,0.855,33.386
